gene,influence
HIST2H2BE,1.96E-03
HJURP,2.24E-03
HK3,1.68E-03
HLA-DOB,1.78E-03
HLA-DQA1,2.18E-03
HLA-DQB1,1.56E-03
HLCS,2.19E-03
HLF,1.03E-02
HMGB3,2.36E-03
HMGCS2,2.14E-03
HMMR,1.80E-03
HNMT,2.64E-03
HOXA1,2.04E-02
HOXA2,1.51E-02
HOXA7,1.14E-02
HOXB2,1.29E-02
HOXB8,1.66E-02
HOXC10,2.76E-02
HOXC13,2.71E-02
HOXD1,2.12E-03
HPGD,2.14E-03
HPN,2.10E-03
HPSE,2.40E-03
HPX,1.64E-03
HRASLS,1.74E-03
HRK,2.03E-03
HS3ST1,2.03E-03
HSD17B1,2.17E-03
HSD17B2,2.21E-03
HSD17B3,2.35E-03
HSD17B6,1.88E-03
HSFX1 /// HSFX2,2.32E-03
HSPA12A,2.57E-03
HSPA1L,2.45E-03
HSPA2,2.44E-03
HSPB1,2.16E-03
HSPB2,1.79E-03
HSPB8,2.01E-03
HSPG2,2.34E-03
HTR2B,2.47E-03
HTRA1,2.41E-03
HYAL1,2.31E-03
ICOS,2.06E-03
ID4,1.84E-03
IDO1,2.89E-03
IFI44,1.94E-03
IFI44L,2.12E-03
IFIH1,1.61E-03
IFRD1,3.08E-03
IFT140,2.14E-03
IFT22,2.07E-03
IFT74,1.85E-03
IGF1,1.59E-03
IGF1R,1.79E-03
IGF2 /// INS-IGF2,2.24E-03
IGF2BP2,2.26E-03
IGFBP2,2.02E-03
IGFBP4,2.13E-03
IGHA1 /// IGHA2 /// IGHD /// IGHG1 /// IGHG3 /// IGHG4 /// IGHM /// IGHV4-31,2.36E-03
IGHD,1.82E-03
IGHG1,2.48E-03
IGHM,2.39E-03
IGHV3-73 /// IGHV3-73,1.88E-03
IGHV5-78,1.83E-03
IGKV1-17 /// IGKV1-17,1.97E-03
IGKV1-37 /// IGKV1-37 /// IGKV1D-37 /// IGKV1D-37,2.37E-03
IGKV1OR2-108 /// IGKV1OR2-108,2.30E-03
IGLC1,2.22E-03
IGLJ3,1.82E-03
IGLL3P,2.00E-03
IGLL5,2.26E-03
IGLV1-44,1.89E-03
IGLV6-57,2.13E-03
IKBKB,3.11E-03
IKZF2,2.28E-03
IL11RA,2.00E-03
IL12B,1.79E-03
IL12RB2,2.59E-03
IL17B,1.93E-03
IL17RB,1.90E-03
IL17RC,1.94E-03
IL1R2,2.00E-03
IL1RAP,2.14E-03
IL1RL1,2.11E-03
IL20RA,1.68E-03
IL21R,2.45E-03
IL24,2.39E-03
IL2RA,2.33E-03
IL32,2.53E-03
IL33,2.14E-03
IL4I1 /// NUP62,2.42E-03
IL6ST,1.85E-03
IL9R,1.82E-03
IMPA2,1.94E-03
IMPG1,1.33E-03
INCENP,2.12E-03
INPP4B,2.34E-03
INPP5D,1.97E-03
INPP5J,2.03E-03
INSM1,4.63E-02
IQCH,1.89E-03
IRAK3,1.84E-03
IRS1,1.78E-03
IRX4,2.26E-03
ISG20,1.82E-03
ISL1,1.16E-02
ITGA3,2.05E-03
ITGA7,2.22E-03
ITGB4,1.70E-03
ITGB6 /// LOC100505984,2.26E-03
ITGB7,2.03E-03
ITGB8,1.63E-03
ITGBL1,2.59E-03
ITIH5,2.02E-03
ITM2C,2.02E-03
ITPR1,2.18E-03
JMJD7 /// JMJD7-PLA2G4B,1.60E-03
JMJD7-PLA2G4B /// PLA2G4B,1.96E-03
JPH3,1.77E-03
JRK,1.66E-03
KALRN,1.88E-03
KANK3,2.16E-03
KBTBD11,1.97E-03
KCNA5,1.53E-03
KCND2,1.66E-03
KCNE4,2.08E-03
KCNH1,2.47E-03
KCNJ12 /// KCNJ18 /// LOC100996843,2.20E-03
KCNJ15,1.38E-03
KCNJ3,2.06E-03
KCNK1,1.54E-03
KCNK13,1.84E-03
KCNK15,1.61E-03
KCNK2,1.77E-03
KCNK3,2.17E-03
KCNK5,2.77E-03
KCNN4,2.00E-03
KCNQ1,2.10E-03
KCTD14 /// NDUFC2-KCTD14,1.79E-03
KCTD3,2.39E-03
KDM4B,1.89E-03
KDM4D,2.41E-03
KERA,1.96E-03
KIAA0040,2.07E-03
KIAA0319L,2.05E-03
KIAA0408,1.95E-03
KIAA1024,1.36E-03
KIAA1324,2.40E-03
KIF11,2.35E-03
KIF13B,2.07E-03
KIF14,1.76E-03
KIF15,1.91E-03
KIF18A,2.27E-03
KIF18B,2.27E-03
KIF1A,2.26E-03
KIF20A,2.17E-03
KIF23,2.28E-03
KIF24,1.91E-03
KIF2C,2.38E-03
KIF4A,2.16E-03
KIF5C,2.55E-03
KIFC1,2.15E-03
KIT,2.06E-03
KLF3-AS1,2.42E-03
KLF5,5.68E-02
KLHL4,1.72E-03
KLHL7,2.26E-03
KLK10,2.06E-03
KLK11,2.10E-03
KLK12,1.88E-03
KLK5,2.08E-03
KLK7,1.87E-03
KLK8,2.52E-03
KLRB1,2.06E-03
KLRC1 /// KLRC2,1.64E-03
KLRC3,2.27E-03
KLRC4,2.66E-03
KLRD1,2.13E-03
KLRF1,1.62E-03
KPNA2,1.80E-03
KRT14,2.22E-03
KRT15,2.37E-03
KRT16,2.49E-03
KRT18,2.10E-03
KRT19,1.77E-03
KRT23,2.08E-03
KRT4,1.69E-03
KRT5,1.93E-03
KRT6A,1.48E-03
KRT6B,1.77E-03
KRT7,2.12E-03
KRT81,2.02E-03
KRT8P17 /// KRT8P17,1.46E-03
KSR1,2.39E-03
L1CAM,2.03E-03
L1TD1,1.72E-03
LAD1,2.37E-03
LAG3,2.21E-03
LAMA1,2.12E-03
LAMA2,2.04E-03
LAMA3,2.17E-03
LAMB2,2.07E-03
LAMB3,1.53E-03
LAMC3,2.52E-03
LAMP3,2.38E-03
LAMP5,2.05E-03
